UF,Município,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$)
SP,Caieiras,31/12/2024,SP-F-3509007-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,86623,1,0,0,4,4,0,16400,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,0,"2,01E+15",,,,,,0.0,0.0,0.0,83000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,Caruaru,02/01/2025,PE-F-2604106-14131-20241230,"14131 - Incêndio Florestal - Incêndios em Parques, Áreas de Proteção Ambiental e Áreas de Preservação Permanente Nacionais, Estaduais ou Municipais",Registro,314951,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,ATÉ 40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,Rio Preto,31/12/2024,MG-F-3155900-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5292,0,0,0,0,37,0,2800,8,1,260000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,350000.0,,,,,,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,150000.0,0.0,0.0
MG,Juiz de Fora,17/02/2025,MG-F-3136702-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,517872,0,0,0,0,0,0,0,4,0,50421.98,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,104245.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,Areado,09/01/2025,MG-F-3104304-13213-20241230,13213 - Tempestade Local/Convectiva - Granizo,Reconhecido,13729,0,0,0,0,60,0,985,1000,0,125000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,0,50000.0,,,,,,0.0,5000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0
RS,Ponte Preta,31/12/2024,RS-F-4314787-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,1750,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,Brejo dos Santos,30/12/2024,PB-F-2502904-14110-20241230,14110 - Estiagem,Reconhecido,6197,0,0,0,0,0,0,6197,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,MAIS DE 20%,,0.0,1549626.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732888.0,221730.0,0.0,0.0,0.0
MG,Cambuí,30/12/2024,MG-F-3110608-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,26491,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,60000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ,Sapucaia,02/01/2025,RJ-F-3305406-11321-20241230,11321 - Deslizamentos,Registro,17504,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,Soledade de Minas,02/01/2025,MG-F-3167806-12100-20241230,12100 - Inundações,Registro,5678,0,0,0,3,4,0,31,2,0,12000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,26000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,225000.0,110000.0,0.0,200000.0,0.0
